antiguedad,caja_cambios,descripcion,marca_modelo,millas,motor,precio_libra
2015 reg,Manual,3L M135i,"BMW, ,1 Series","67,907 miles",Petrol,"£15,250"
2019 reg,Manual,1.5L Sport 118i,"BMW, ,1 Series","30,240 miles",Petrol,"£15,300"
2018 reg,Manual,1.5L M Sport 216d,"BMW, ,2 Series Active Tourer","35,470 miles",Diesel,"£15,300"
2019 reg,Manual,1.5L SE 218i,"BMW, ,2 Series Gran Tourer","38,509 miles",Petrol,"£15,450"
2017 reg,Manual,2L Sport 120i,"BMW, ,1 Series","18,568 miles",Petrol,"£15,450"
2018 reg,Manual,1.5L Sport 118i,"BMW, ,1 Series","19,631 miles",Petrol,"£15,600"
2017 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","26,864 miles",Petrol,"£15,600"
2017 reg,Automatic,1.5L M Sport 116d,"BMW, ,1 Series","37,435 miles",Diesel,"£15,700"
2018 reg,Manual,2L M Sport 18d,"BMW, ,X1","61,926 miles",Diesel,"£15,700"
2018 reg,Manual,1.5L SE 218i,"BMW, ,2 Series Gran Tourer","26,365 miles",Petrol,"£15,750"
2016 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","60,725 miles",Diesel,"£15,750"
2017 reg,Automatic,2L Sport 218d,"BMW, ,2 Series","47,004 miles",Diesel,"£15,850"
2019 reg,Manual,1.5L Sport 118i,"BMW, ,1 Series","15,851 miles",Petrol,"£15,850"
2018 reg,Automatic,1.5L SE 118i,"BMW, ,1 Series","34,641 miles",Petrol,"£15,900"
2017 reg,Manual,2L M Sport 420d,"BMW, ,4 Series Gran Coupe","54,692 miles",Diesel,"£15,950"
2016 reg,Manual,1.5L M Sport 218i,"BMW, ,2 Series","36,873 miles",Petrol,"£15,950"
2019 reg,Manual,1.5L Sport 118i,"BMW, ,1 Series","21,109 miles",Petrol,"£15,950"
2019 reg,Manual,1.5L SE 118i,"BMW, ,1 Series","15,908 miles",Petrol,"£16,000"
2017 reg,Automatic,1.5L SE 118i,"BMW, ,1 Series","14,174 miles",Petrol,"£16,050"
2018 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","45,602 miles",Petrol,"£16,100"
2016 reg,Manual,1.5L Sport 218i,"BMW, ,2 Series","11,417 miles",Petrol,"£16,100"
2016 reg,Automatic,2L M Sport 118d,"BMW, ,1 Series","19,781 miles",Diesel,"£16,150"
2017 reg,Automatic,2L Luxury 330e,"BMW, ,3 Series","57,373 miles",Plug-in hybrid,"£16,150"
2018 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","39,923 miles",Petrol,"£16,300"
2016 reg,Automatic,2L SE 520d,"BMW, ,5 Series","27,252 miles",Diesel,"£16,300"
2016 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","38,761 miles",Diesel,"£16,300"
2017 reg,Automatic,1.5L Sport 218i,"BMW, ,2 Series","22,804 miles",Petrol,"£16,350"
2017 reg,Manual,2L SE 18d,"BMW, ,X1","18,248 miles",Diesel,"£16,350"
2017 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","24,072 miles",Petrol,"£16,400"
2018 reg,Manual,1.5L SE 218i,"BMW, ,2 Series Gran Tourer","14,972 miles",Petrol,"£16,400"
2019 reg,Manual,1.5L SE 218i,"BMW, ,2 Series Gran Tourer","17,731 miles",Petrol,"£16,400"
2018 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","26,021 miles",Petrol,"£16,400"
2019 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","31,297 miles",Petrol,"£16,550"
2015 reg,Automatic,2L Sport 320d,"BMW, ,3 Series","26,159 miles",Diesel,"£16,600"
2018 reg,Automatic,1.5L M Sport 218i,"BMW, ,2 Series Active Tourer","35,927 miles",Petrol,"£16,650"
2016 reg,Manual,1.5L M Sport 218i,"BMW, ,2 Series Gran Tourer","24,360 miles",Petrol,"£16,650"
2017 reg,Automatic,2L Sport 320i,"BMW, ,3 Series","26,195 miles",Petrol,"£16,700"
2019 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","53,056 miles",Petrol,"£16,700"
2019 reg,Manual,2L SE 218d,"BMW, ,2 Series Active Tourer","12,430 miles",Diesel,"£16,750"
2018 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","31,787 miles",Petrol,"£16,800"
2017 reg,Automatic,2L Sport 118d,"BMW, ,1 Series","17,538 miles",Diesel,"£16,800"
2016 reg,Manual,2L Sport 220i,"BMW, ,2 Series","26,612 miles",Petrol,"£16,850"
2019 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","34,757 miles",Petrol,"£16,850"
2019 reg,Manual,2L SE 320d,"BMW, ,3 Series","42,225 miles",Diesel,"£16,850"
2018 reg,Automatic,2L Sport 20d,"BMW, ,X1","52,338 miles",Diesel,"£16,950"
2019 reg,Automatic,1.5L M Sport Shadow Edition 116d,"BMW, ,1 Series","59,179 miles",Diesel,"£17,000"
2015 reg,Automatic,2L Luxury 428i,"BMW, ,4 Series","13,182 miles",Petrol,"£17,050"
2021 reg,Automatic,2L M Sport 330i,"BMW, ,3 Series","15,081 miles",Petrol,"£33,700"
2018 reg,Automatic,3L M50d,"BMW, ,X6","47,496 miles",Diesel,"£33,750"
2019 reg,Automatic,3L M Sport 30d,"BMW, ,X4","40,190 miles",Diesel,"£33,800"
2020 reg,Automatic,2L M Sport 30i,"BMW, ,Z4","32,547 miles",Petrol,"£34,100"
2021 reg,Automatic,2L M Sport 330i,"BMW, ,3 Series","11,404 miles",Petrol,"£34,150"
2019 reg,Automatic,3L M Sport 730d,"BMW, ,7 Series","36,744 miles",Diesel,"£34,400"
2022 reg,Automatic,2L xLine 20i,"BMW, ,X1","3,242 miles",Petrol,"£34,550"
2017 reg,Automatic,3L M50d,"BMW, ,X5","46,700 miles",Diesel,"£34,550"
2021 reg,Automatic,2L xLine 20i,"BMW, ,X1","7,261 miles",Petrol,"£34,700"
2022 reg,Automatic,2L xLine 18d,"BMW, ,X1","1,958 miles",Diesel,"£34,950"
2019 reg,Automatic,3L M40i,"BMW, ,X3","27,295 miles",Petrol,"£35,000"
2019 reg,Automatic,2L M Sport 20d,"BMW, ,X4","16,026 miles",Diesel,"£36,500"
2019 reg,Automatic,3L M Sport Plus Edition 330d,"BMW, ,3 Series","21,140 miles",Diesel,"£37,400"
2021 reg,Automatic,2L M Sport MHT 20d,"BMW, ,X3","10,262 miles",Diesel,"£37,600"
2021 reg,Automatic,1.5L xLine 25e,"BMW, ,X1","5,897 miles",Plug-in hybrid,"£37,650"
2019 reg,Automatic,3L Competition BiTurbo,"BMW, ,M2","23,747 miles",Petrol,"£38,100"
2021 reg,Automatic,2L M Sport MHT 20d,"BMW, ,X3","3,507 miles",Diesel,"£39,300"
2021 reg,Automatic,2L M Sport 20i,"BMW, ,X3","5,737 miles",Petrol,"£39,600"
2022 reg,Automatic,2L M Sport MHT 420d,"BMW, ,4 Series Gran Coupe","2,217 miles",Diesel,"£40,100"
2019 reg,Manual,3L Competition BiTurbo,"BMW, ,M2","15,413 miles",Petrol,"£42,200"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","3,192 miles",Plug-in hybrid,"£42,600"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","2,786 miles",Plug-in hybrid,"£42,700"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","2,552 miles",Plug-in hybrid,"£42,750"
2021 reg,Automatic,3L MHT M340i,"BMW, ,3 Series","14,089 miles",Petrol,"£42,800"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","2,019 miles",Plug-in hybrid,"£42,850"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","3,571 miles",Plug-in hybrid,"£42,950"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","1,660 miles",Plug-in hybrid,"£42,950"
2020 reg,Automatic,3L M340i,"BMW, ,3 Series","16,367 miles",Petrol,"£43,100"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","2,633 miles",Plug-in hybrid,"£43,150"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","2,368 miles",Plug-in hybrid,"£43,200"
2016 reg,Automatic,2L M Sport 420d,"BMW, ,4 Series","66,266 miles",Diesel,"£17,050"
2019 reg,Manual,1.5L M Sport 118i,"BMW, ,1 Series","25,123 miles",Petrol,"£17,100"
2016 reg,Manual,2L M Sport 420i,"BMW, ,4 Series","27,754 miles",Petrol,"£17,100"
2016 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","36,465 miles",Diesel,"£17,150"
2017 reg,Manual,2L M Sport 218d,"BMW, ,2 Series","16,285 miles",Diesel,"£17,150"
2015 reg,Automatic,2L M Sport 420d,"BMW, ,4 Series","42,867 miles",Diesel,"£17,200"
2018 reg,Manual,1.5L Sport 318i,"BMW, ,3 Series","11,424 miles",Petrol,"£17,200"
2018 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","35,563 miles",Petrol,"£17,250"
2018 reg,Manual,1.5L M Sport 218i,"BMW, ,2 Series","34,796 miles",Petrol,"£17,250"
2018 reg,Automatic,2L ED Plus 320d,"BMW, ,3 Series","27,438 miles",Diesel,"£17,250"
2019 reg,Manual,1.5L M Sport 118i,"BMW, ,1 Series","32,681 miles",Petrol,"£17,350"
2018 reg,Automatic,2L SE 420d,"BMW, ,4 Series Gran Coupe","34,264 miles",Diesel,"£17,350"
2017 reg,Automatic,2L M Sport Shadow Edition 118d,"BMW, ,1 Series","29,460 miles",Diesel,"£17,400"
2016 reg,Automatic,2L SE 20d,"BMW, ,X3","60,476 miles",Diesel,"£17,400"
2019 reg,Manual,2L SE 320d,"BMW, ,3 Series","46,112 miles",Diesel,"£17,500"
2019 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","34,588 miles",Petrol,"£17,550"
2015 reg,Automatic,2L M Sport 420d,"BMW, ,4 Series","46,183 miles",Diesel,"£17,550"
2016 reg,Automatic,2L M Sport 225d,"BMW, ,2 Series","42,150 miles",Diesel,"£17,550"
2018 reg,Manual,1.5L M Sport 218i,"BMW, ,2 Series","16,156 miles",Petrol,"£17,550"
2017 reg,Automatic,2L M Sport 220d,"BMW, ,2 Series","41,398 miles",Diesel,"£17,650"
2017 reg,Automatic,1.5L Sport 218i,"BMW, ,2 Series","32,602 miles",Petrol,"£17,650"
2019 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","32,965 miles",Petrol,"£17,700"
2018 reg,Automatic,2L Sport 20d,"BMW, ,X1","50,652 miles",Diesel,"£17,750"
2016 reg,Automatic,3L M135i,"BMW, ,1 Series","59,106 miles",Petrol,"£17,750"
2019 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","26,463 miles",Petrol,"£17,750"
2019 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","25,585 miles",Petrol,"£17,800"
2016 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","48,813 miles",Diesel,"£17,800"
2019 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","20,038 miles",Petrol,"£17,850"
2018 reg,Automatic,2L M Sport 330e,"BMW, ,3 Series","65,956 miles",Hybrid,"£17,900"
2016 reg,Automatic,2L M Sport 320d,"BMW, ,3 Series","57,117 miles",Diesel,"£17,900"
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X1","56,195 miles",Diesel,"£17,900"
2017 reg,Automatic,2L SE 420d,"BMW, ,4 Series Gran Coupe","25,739 miles",Diesel,"£17,900"
2018 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","18,050 miles",Petrol,"£18,050"
2017 reg,Automatic,2L SE 18d,"BMW, ,X1","27,628 miles",Diesel,"£18,100"
2019 reg,Manual,1.5L M Sport Shadow Edition 116d,"BMW, ,1 Series","20,904 miles",Diesel,"£18,100"
2017 reg,Automatic,1.5L SE 218i,"BMW, ,2 Series Gran Tourer","21,000 miles",Petrol,"£18,200"
2017 reg,Automatic,2L M Sport 320d,"BMW, ,3 Series","37,890 miles",Diesel,"£18,200"
2019 reg,Automatic,2L SE 20i,"BMW, ,X2","54,465 miles",Petrol,"£18,200"
2019 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","23,106 miles",Petrol,"£18,300"
2018 reg,Automatic,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","32,228 miles",Petrol,"£18,300"
2018 reg,Automatic,2L SE 520d,"BMW, ,5 Series","61,411 miles",Diesel,"£18,400"
2019 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","19,844 miles",Petrol,"£18,450"
2016 reg,Automatic,2L M Sport 28i,"BMW, ,Z4","48,974 miles",Petrol,"£18,450"
2018 reg,Automatic,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","25,090 miles",Petrol,"£18,500"
2018 reg,Automatic,2L M Sport 420i,"BMW, ,4 Series Gran Coupe","45,735 miles",Petrol,"£18,550"
2017 reg,Automatic,2L Luxury 420d,"BMW, ,4 Series Gran Coupe","50,761 miles",Diesel,"£18,600"
2018 reg,Automatic,2L xLine 20d,"BMW, ,X1","61,485 miles",Diesel,"£18,700"
2019 reg,Automatic,S,"BMW, ,i3","22,271 miles",Electric,"£26,950"
2018 reg,Automatic,2L M Sport 20d,"BMW, ,X3","30,234 miles",Diesel,"£27,000"
2019 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","17,889 miles",Diesel,"£27,150"
2019 reg,Automatic,S,"BMW, ,i3","26,350 miles",Electric,"£27,150"
2018 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","22,869 miles",Hybrid,"£27,150"
2020 reg,Automatic,1.5L M Sport 218i,"BMW, ,2 Series Gran Coupe","9,490 miles",Petrol,"£27,150"
2019 reg,Automatic,2L M Sport 20d,"BMW, ,X3","53,656 miles",Diesel,"£27,200"
2019 reg,Automatic,2L M Sport 320d,"BMW, ,3 Series","19,985 miles",Diesel,"£27,200"
2018 reg,Automatic,3L M Sport 640d,"BMW, ,6 Series Gran Coupe","41,189 miles",Diesel,"£27,400"
2019 reg,Automatic,3L M240i,"BMW, ,2 Series","6,785 miles",Petrol,"£27,400"
2019 reg,Automatic,2L M Sport 20d,"BMW, ,X3","54,780 miles",Diesel,"£27,400"
2021 reg,Automatic,1.5L M Sport 218i,"BMW, ,2 Series Gran Coupe","16,386 miles",Petrol,"£27,450"
2019 reg,Automatic,2L M Sport 320d,"BMW, ,3 Series","27,569 miles",Diesel,"£27,500"
2018 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","21,766 miles",Hybrid,"£27,600"
2020 reg,Automatic,2L M Sport 320i,"BMW, ,3 Series","8,965 miles",Petrol,"£27,650"
2018 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","26,129 miles",Plug-in hybrid,"£27,700"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","4,603 miles",Petrol,"£27,700"
2018 reg,Automatic,3L M Sport 30d,"BMW, ,X4","31,001 miles",Diesel,"£27,800"
2018 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","19,349 miles",Plug-in hybrid,"£27,850"
2016 reg,Automatic,3L M Sport 535i,"BMW, ,5 Series","21,924 miles",Petrol,"£27,900"
2019 reg,Automatic,2L M Sport 320d,"BMW, ,3 Series","20,614 miles",Diesel,"£27,900"
2021 reg,Automatic,2L xLine 20i,"BMW, ,X1","13,244 miles",Petrol,"£27,900"
2021 reg,Automatic,2L M Sport 320i,"BMW, ,3 Series","41,064 miles",Petrol,"£27,950"
2020 reg,Automatic,2L M Sport 320i,"BMW, ,3 Series","8,947 miles",Petrol,"£27,950"
2019 reg,Automatic,2L M Sport 320d,"BMW, ,3 Series","24,965 miles",Diesel,"£28,000"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","3,758 miles",Petrol,"£28,050"
2019 reg,Automatic,3L Sport 330d,"BMW, ,3 Series","26,792 miles",Diesel,"£28,050"
2018 reg,Automatic,2L M Sport 530i,"BMW, ,5 Series","21,229 miles",Petrol,"£28,100"
2019 reg,Automatic,2L M Sport 320d,"BMW, ,3 Series","32,337 miles",Diesel,"£28,150"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","18,640 miles",Petrol,"£28,200"
2022 reg,Manual,1.5L M Sport 118i,"BMW, ,1 Series","3,607 miles",Petrol,"£28,250"
2018 reg,Automatic,2L M Sport 20d,"BMW, ,X3","29,784 miles",Diesel,"£28,250"
2019 reg,Automatic,2L M Sport 20d,"BMW, ,X3","48,062 miles",Diesel,"£28,250"
2019 reg,Automatic,2L M Sport 330i,"BMW, ,3 Series","37,036 miles",Petrol,"£28,350"
2020 reg,Automatic,2L M Sport 320i,"BMW, ,3 Series","12,658 miles",Petrol,"£28,350"
2021 reg,Manual,1.5L Sport 18i,"BMW, ,X1","8,478 miles",Petrol,"£28,550"
2021 reg,Automatic,2L Sport 20i,"BMW, ,X1","9,895 miles",Petrol,"£28,550"
2021 reg,Automatic,,"BMW, ,i3","5,569 miles",Electric,"£28,650"
2018 reg,Automatic,3L M Sport 630d,"BMW, ,6 Series Gran Turismo","16,504 miles",Diesel,"£28,650"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","14,282 miles",Petrol,"£28,700"
2018 reg,Automatic,2L M Sport 20d,"BMW, ,X3","24,452 miles",Diesel,"£28,700"
2019 reg,Automatic,2L M Sport 330i,"BMW, ,3 Series","26,758 miles",Petrol,"£28,750"
2021 reg,Automatic,1.5L M Sport 218i,"BMW, ,2 Series Gran Coupe","11,594 miles",Petrol,"£28,850"
2019 reg,Automatic,2L M Sport 430i,"BMW, ,4 Series","5,937 miles",Petrol,"£28,850"
2016 reg,Automatic,3L 35is,"BMW, ,Z4","29,714 miles",Petrol,"£29,000"
2019 reg,Automatic,2L xLine 20d,"BMW, ,X3","32,769 miles",Diesel,"£29,050"
2019 reg,Automatic,2L xLine 20d,"BMW, ,X3","17,616 miles",Diesel,"£29,050"
2018 reg,Automatic,2L M Sport 20d,"BMW, ,X3","33,899 miles",Diesel,"£29,100"
2020 reg,Automatic,2L M Sport 320i,"BMW, ,3 Series","19,155 miles",Petrol,"£29,350"
2019 reg,Automatic,3L M Sport 30d,"BMW, ,X3","49,843 miles",Diesel,"£29,400"
2018 reg,Automatic,2L M Sport 20d,"BMW, ,X3","25,972 miles",Diesel,"£29,500"
2019 reg,Automatic,2L M Sport 20d,"BMW, ,X3","37,473 miles",Diesel,"£29,500"
2018 reg,Automatic,2L M Sport 20d,"BMW, ,X3","30,089 miles",Diesel,"£29,550"
2020 reg,Automatic,2L M Sport 320i,"BMW, ,3 Series","6,292 miles",Petrol,"£29,600"
2019 reg,Automatic,2L M Sport 330e,"BMW, ,3 Series","33,883 miles",Petrol,"£29,600"
2019 reg,Automatic,2L M Sport 20d,"BMW, ,X3","42,757 miles",Diesel,"£29,650"
2020 reg,Automatic,2L xLine 20i,"BMW, ,X1","3,106 miles",Petrol,"£29,750"
